"country","pop","urban","gdp","lifeexpm","lifeexpf","birthrat","deathrat","infmr","fertrate","region","develop","radio","phone","hospbed","docs","lndocs","lnradio","lnphone","lngdp","sequence","lnbeds"
"Angola              ",8.902,29,950,43,47,46,19,151,6.3,"Middle Africa","Developing country",4.54545454545455,0.757575757575758,11.8343195266272,0.660676532769556,-0.414490919315477,1.51412773262978,-0.277631736598279,6.85646198459459,14,2.47100374461901
"Cameroon            ",12.658,40,1010,55,60,44,11,81,5.7,"Middle Africa","Developing country",16.6666666666667,0.540540540540541,26.525198938992,0.797448165869219,-0.226338442210729,2.81341071676004,-0.615185639090233,6.9177056098353,15,3.27809518452817
"Central African Rep.",3.029,47,440,46,49,44,19,135,5.8,"Middle Africa","Developing country",20,0.263157894736842,14.5137880986938,0.578302105019662,-0.54765887381134,2.99573227355399,-1.33500106673234,6.08677472691231,16,2.67509910096252
"Chad                ",5.238,32,190,39,41,42,22,136,5.8,"Middle Africa","Developing country",23.2558139534884,0.18018018018018,7.00280112044818,0.188001729615912,-1.67130411610987,3.14655516328857,-1.71379792775834,5.24702407216049,17,1.94631022907665
"Congo               ",2.376,41,1070,52,56,43,13,110,5.8,"Middle Africa","Developing country",10.6382978723404,0.900900900900901,21.9298245614035,2.58197779499096,0.948555692461431,2.36446049671213,-0.104360015324243,6.97541392745595,18,3.0878475624618
"Gabon               ",1.106,45,4400,51,56,28,15,100,5.3,"Middle Africa","Developing country",20,1.5625,46.2962962962963,2.65041081367612,0.974714652011872,2.99573227355399,0.44628710262842,8.38935981990635,19,3.83506196429202
"Zaire               ",39.084,44,180,52,56,45,14,97,6,"Middle Africa","Developing country",10.3092783505155,0.0974658869395711,21.0084033613445,0.431164575518475,-0.841265416012402,2.33304430047875,-2.32825283974262,5.19295685089021,20,3.04492251774476
"Algeria             ",26.666,51,2130,66,68,31,7,57,5.2,"Northern Africa","Developing country",25,4.34782608695652,25.4452926208651,9.41619585687382,2.2424311701743,3.2188758248682,1.46967597005894,7.66387725870347,21,3.23653076010692
"Egypt               ",56.386,44,720,58,62,33,10,80,4.2,"Northern Africa","Developing country",25.6410256410256,2.94117647058824,19.8019801980198,16.2337662337662,2.78709340844266,3.24419363285249,1.07880966137193,6.5792512120101,22,2.98578194270082
"Libya               ",44.85,70,6800,66,71,36,6,60,6.7,"Northern Africa","Developing country",25,NA,35.84229390681,12.987012987013,2.56394985712845,3.2188758248682,NA,8.8246778911642,23,3.57912859015482
"Morocco             ",26.708,50,1060,63,67,30,8,56,4.2,"Northern Africa","Developing country",18.5185185185185,1.61290322580645,10.4275286757039,2.26500566251416,0.817577258938122,2.91877123241786,0.478035800943,6.96602418710611,24,2.34444929709274
"Sudan               ",28.305,22,450,53,54,44,14,85,6.3,"Northern Africa","Developing country",21.7391304347826,0.29585798816568,9.00900900900901,0.774653342629173,-0.255339649530527,3.07911388249304,-1.21787570949493,6.10924758276437,25,2.1982250776698
"Tunisia             ",8.445,49,1320,70,74,26,5,38,3.4,"Northern Africa","Developing country",21.2765957446809,4.16666666666667,19.7628458498024,5.4525627044711,1.69608571915977,3.05760767727208,1.42711635564015,7.18538701558042,26,2.98380370268872
"Botswana            ",1.3,25,2384,59,65,36,9,43,5.9,"Southern Africa","Developing country",83.3333333333333,3.84615384615385,38.6100386100386,1.39178844815588,0.330589573463057,4.42284862919414,1.34707364796661,7.77653502818524,27,3.65351231027664
"Lesotho             ",1.848,16,240,60,63,35,10,74,5.6,"Southern Africa","Developing country",20,NA,14.8809523809524,0.635808748728383,-0.452857470410765,2.99573227355399,NA,5.48063892334199,28,2.70008203145303
"Namibia             ",1.574,33,1400,58,63,45,10,66,5.7,"Southern Africa","Developed country",17.2413793103448,5.88235294117647,60.2409638554217,2.24719101123596,0.809680996815897,2.84731226843572,1.77195684193188,7.24422751560335,29,4.09835258361964
"South Africa        ",41.688,60,2600,62,67,35,8,51,4.2,"Southern Africa","Developed country",33.3333333333333,16.3934426229508,NA,7.57575757575758,2.02495335639577,3.50655789731998,2.79688141480883,7.86326672400957,30,NA
"Benin               ",4.997,20,400,49,52,49,16,115,6.9,"Western Africa","Developing country",7.14285714285714,NA,13.3511348464619,0.62402496099844,-0.471564909812688,1.96611285637283,NA,5.99146454710798,31,2.59160138845896
"Burkina Faso        ",9.653,8,205,52,53,50,16,117,6.4,"Western Africa","Developing country",2.27272727272727,0.20746887966805,7.35835172921266,0.334291636023267,-1.09574150524309,0.82098055206983,-1.57277392806251,5.32300997913841,32,1.99583595782504
"Ghana               ",16.185,33,400,53,56,46,13,86,6.2,"Western Africa","Developing country",21.2765957446809,0.523560209424084,NA,0.451936548108646,-0.794213489294748,3.05760767727208,-0.647103242058539,5.99146454710798,33,NA
"Guinea              ",7.783,26,410,41,45,46,21,144,6.1,"Western Africa","Developing country",2.94117647058824,0.28169014084507,NA,1.0275380189067,0.0271656680727696,1.07880966137193,-1.26694760348732,6.01615715969835,34,NA
"Liberia             ",2.462,46,440,54,59,45,13,119,6.4,"Western Africa","Developing country",22.7272727272727,0.359712230215827,15.015015015015,1.18008024545669,0.165582440789678,3.12356564506388,-1.02245092770255,6.08677472691231,35,2.70905070143579
"Mali                ",8.641,25,265,43,47,51,21,110,6.6,"Western Africa","Developing country",1.88679245283019,0.136986301369863,5.26870389884088,0.353756898259516,-1.03914532983456,0.63487827243597,-1.98787434815435,5.57972982598622,36,1.66178439280631
"Mauritania          ",2.059,34,520,44,50,49,19,89,6.4,"Western Africa","Developing country",12.8205128205128,NA,8.21692686935086,0.978665100802505,-0.0215657779145606,2.55104645229255,NA,6.25382881157547,37,2.10619627898866
"Niger               ",8.052,21,300,42,45,58,23,125,7,"Western Africa","Developing country",5.26315789473684,0.177619893428064,NA,NA,NA,1.66073120682165,-1.7281094421516,5.7037824746562,38,NA
"Nigeria             ",88.5,35,230,48,50,46,17,110,6.8,"Western Africa","Developing country",8.33333333333333,0.416666666666667,8.75656742556918,1.44927536231884,0.371063681390832,2.12026353620009,-0.8754687373539,5.4380793089232,39,2.16980398176023
"Senegal             ",8.205,30,615,54,57,44,13,80,6.2,"Western Africa","Developing country",11.4942528735632,0.666666666666667,8.81834215167549,0.585754451733833,-0.534854601565352,2.44184716032755,-0.405465108108164,6.42162226780652,40,2.17683388768849
"Sierra Leone        ",4.456,33,330,43,48,46,21,148,6.4,"Western Africa","Developing country",23.8095238095238,0.625,10.2040816326531,0.760456273764259,-0.273836665629728,3.17008566069877,-0.470003629245736,5.79909265446053,41,2.32278780031156
"Togo                ",3.958,25,400,54,58,48,12,94,6,"Western Africa","Developing country",20,0.591715976331361,13.2978723404255,0.769704433497537,-0.261748690425276,2.99573227355399,-0.524728528934982,5.99146454710798,42,2.58760404802634
"Cuba                ",10.846,72,1580,74,79,18,7,12,1.7,"Caribbean","Developing country",33.3333333333333,5.26315789473684,70.9219858156028,33.003300330033,3.49660756646681,3.50655789731998,1.66073120682165,7.36518012602101,43,4.26158048159801
"Dominican Republic  ",7.515,60,950,66,70,27,7,56,3.3,"Caribbean","Developing country",16.6666666666667,4.16666666666667,6.63129973474801,10.7066381156317,2.37086393374734,2.81341071676004,1.42711635564015,6.85646198459459,44,1.89180082340828
"Haiti               ",6.431,29,440,53,55,43,15,104,4.4,"Caribbean","Developing country",45.4545454545455,1.26582278481013,7.94912559618442,1.65590329524756,0.504346657668282,3.81671282562382,0.23572233352107,6.08677472691231,45,2.0730619347158
"Jamaica             ",2.506,52,1400,72,76,24,6,17,2.4,"Caribbean","Developing country",38.4615384615385,7.69230769230769,21.3675213675214,1.69376693766938,0.526955005695874,3.64965874096066,2.04022082852655,7.24422751560335,46,3.06187207605854
"Trinidad & Tobago   ",1.285,64,3600,68,73,21,6,18,2.5,"Caribbean","Developing country",32.258064516129,20,31.4465408805031,6.48088139987038,1.86885651961302,3.47376807449699,2.99573227355399,8.1886891244442,47,3.44828898919601
"Costa Rica          ",3.187,50,1810,75,79,27,4,12,3,"Central America","Developing country",9.09090909090909,14.4927536231884,22.0264317180617,12.531328320802,2.52823177452637,2.20727491318972,2.67364877438488,7.50108212425987,48,3.09224317393483
"El Salvador         ",5.574,45,1010,68,75,33,5,26,4.5,"Central America","Developing country",38.4615384615385,2.77777777777778,10.2774922918808,7.5642965204236,2.02343935156455,3.64965874096066,1.02165124753198,6.9177056098353,49,2.32995628979018
"Guatemala           ",9.784,39,1260,61,66,34,8,56,5.4,"Central America","Developing country",4.54545454545455,2.77777777777778,NA,4.24448217317487,1.44561982720471,1.51412773262978,1.02165124753198,7.13886699994552,50,NA
"Honduras            ",4.949,40,960,64,68,38,7,56,4.9,"Central America","Developing country",41.6666666666667,1.72413793103448,12.1802679658952,6.30517023959647,1.84136996978139,3.72970144863419,0.544727175441672,6.86693328446188,51,2.49981726252375
"Mexico              ",92.38,72,3200,69,76,29,5,29,3.1,"Central America","Developing country",19.6078431372549,13.1578947368421,7.70416024653313,16.6666666666667,2.81341071676004,2.97592964625781,2.57702193869581,8.07090608878782,52,2.04176047471215
"Nicaragua           ",3.878,60,425,61,66,37,8,57,5,"Central America","Developing country",23.2558139534884,1.21951219512195,13.1406044678055,5.95947556615018,1.78498248494903,3.14655516328857,0.198450938723838,6.05208916892442,53,2.5757070141145
"Panama              ",2.529,53,1150,73,77,26,5,17,2.9,"Central America","Developing country",40,10.752688172043,30.3030303030303,11.3636363636364,2.43041846450393,3.68887945411394,2.37515578582888,7.0475172213573,54,3.41124771751566
"Argentina           ",32.901,87,3100,67,74,20,9,31,2.8,"South America","Developing country",100,11.1111111111111,66.6666666666667,30.6748466257669,3.42344299060947,4.60517018598809,2.40794560865187,8.03915739047324,55,4.19970507787993
"Bolivia             ",7.323,51,690,59,64,34,19,83,5.8,"South America","Developing country",55.5555555555556,2.7027027027027,14.5772594752187,4.70809792843691,1.54928398961435,4.01738352108597,0.994252273343867,6.5366915975913,56,2.6794627442503
"Brazil              ",158,76,2540,62,68,26,7,67,3.2,"South America","Developing country",40,10,35.0877192982456,14.6198830409357,2.68238245435363,3.68887945411394,2.30258509299405,7.83991936001258,57,3.55785119170753
"Chile               ",13.528,84,2200,71,77,21,6,18,2.7,"South America","Developing country",30.3030303030303,6.25,32.8947368421053,10.8813928182807,2.3870542496205,3.41124771751566,1.83258146374831,7.69621263934641,58,3.49331267056996
"Colombia            ",34.296,65.4,1300,69,74,24,5,37,3.3,"South America","Developing country",13.6986301369863,7.69230769230769,NA,9.2678405931418,2.22655040671805,2.61729583783375,2.04022082852655,7.17011954344963,59,NA
"Equador             ",10.933,54,1070,67,72,28,6,60,4.3,"South America","Developing country",29.4117647058824,3.57142857142857,16.3934426229508,11.001100110011,2.3979952777987,3.38139475436598,1.27296567581289,6.97541392745595,60,2.79688141480883
"Guyana              ",0.739,35,300,61,68,21,7,51,2.4,"South America","Developing country",40,2.12765957446809,29.3255131964809,1.46864444118079,0.384339826493216,3.68887945411394,0.755022584278033,5.7037824746562,61,3.37845789469267
"Paraguay            ",4.929,46,1460,71,74,33,5,28,4.3,"South America","Developing country",18.5185185185185,2.38095238095238,10.7411385606874,9.92063492063492,2.29461692334487,2.91877123241786,0.867500567704723,7.28619171470238,62,2.37408109469912
"Peru                ",22.767,70,920,63,67,28,8,59,4,"South America","Developing country",19.2307692307692,3.57142857142857,16,10.0300902708124,2.30558960201434,2.95651156040071,1.27296567581289,6.82437367004309,63,2.77258872223978
"Uruguay             ",3.121,86,2935,69,76,17,10,22,2.5,"South America","Developing country",100,17.2413793103448,78.740157480315,29.3255131964809,3.37845789469267,4.60517018598809,2.84731226843572,7.9844627322622,64,4.36615328551759
"Venezuela           ",20.675,83,2590,71,78,28,4,23,3.5,"South America","Developing country",41.6666666666667,9.09090909090909,27.027027027027,17.3611111111111,2.85423271128029,3.72970144863419,2.20727491318972,7.85941315469358,65,3.29683736633791
"Canada              ",27.351,77,19400,74,81,14,7,7.3,1.7,"North America","Developed country",83.3333333333333,76.9230769230769,67.5675675675676,22.271714922049,3.10331748423393,4.42284862919414,4.3428059215206,9.87302834505142,66,4.21312809821207
"United States       ",256.561,76,22470,72,79,14,9,10,1.9,"North America","Developed country",200,52.6315789473684,50.5050505050505,24.7524752475248,3.20892549401503,5.29831736654804,3.9633162998157,10.0199363651794,67,3.92207334128165
"China               ",1169.619,27,360,69,72,22,7,33,2.2,"Eastern Asia","Developing country",10.989010989011,1.12359550561798,23.3644859813084,15.4798761609907,2.73954086819358,2.39689577246529,0.116533816255952,5.88610403145016,68,3.15121717639439
"Japan               ",124.46,77,19100,77,82,10,7,4,1.8,"Eastern Asia","Developed country",76.9230769230769,43.4782608695652,135.135135135135,17.0068027210884,2.83361342407756,4.3428059215206,3.77226106305299,9.85744361403472,69,4.90627527877201
"North Korea         ",22.227,60,1035,66,72,24,6,30,3.2,"Eastern Asia","Developing country",16.6666666666667,NA,135.135135135135,27.027027027027,3.29683736633791,2.81341071676004,NA,6.94215670569947,70,4.90627527877201
"South Korea         ",44.149,74,6300,67,73,15,6,23,1.8,"Eastern Asia","Developing country",100,30.3030303030303,23.3100233100233,9.9304865938431,2.29560947925762,4.60517018598809,3.41124771751566,8.74830491237962,71,3.14888345304817
"Mongolia            ",2.305,58,900,63,68,34,6,47,5.2,"Eastern Asia","Developing country",13.3333333333333,3.125,126.582278481013,28.9855072463768,3.36679595494482,2.59026716544583,1.13943428318836,6.80239476332431,72,4.84089251950916
"Cambodia            ",7.249,12,130,48,51,37,15,121,4.4,"Southeast Asia","Developing country",10,0.558659217877095,15.8227848101266,0.37037037037037,-0.993251773010283,2.30258509299405,-0.582215619852664,4.86753445045558,73,2.76145097782933
"Indonesia           ",195,31,630,59,64,26,8,70,2.9,"Southeast Asia","Developing country",12.5,0.581395348837209,6.73400673400673,1.34643866971859,0.297463084306886,2.52572864430826,-0.542324290825362,6.44571981938558,74,1.90717032073938
"Laos                ",4.44,19,200,49,52,44,16,107,5.3,"Southeast Asia","Developing country",11.1111111111111,NA,27.10027100271,1.53964588144727,0.431552442871483,2.40794560865187,NA,5.29831736654804,75,3.29954372793566
"Malaysia            ",18.41,38,2670,66,71,30,6,27,3.1,"Southeast Asia","Developing country",41.6666666666667,12.5,21.8818380743982,3.79075056861259,1.33256403869892,3.72970144863419,2.52572864430826,7.8898337513943,76,3.08565698108198
"Myanmar             ",42.642,25,530,57,61,29,10,68,3.7,"Southeast Asia","Developing country",7.69230769230769,0.199600798403194,6.24219725343321,2.95072292711714,1.08205020036913,2.04022082852655,-1.61143591509677,6.27287700654617,77,1.83133224434788
"Singapore           ",2.792,100,13900,73,78,18,5,6,1.7,"Southeast Asia","Developing country",23.8095238095238,47.6190476190476,36.7647058823529,12.8369704749679,2.55232932610543,3.17008566069877,3.86323284125871,9.53964411911878,78,3.60453830568019
"Thailand            ",57.624,20,1630,67,71,20,7,35,2.2,"Southeast Asia","Developing country",17.5438596491228,2.4390243902439,16.750418760469,2.36574402649633,0.861092571409393,2.86470401114759,0.891598119283784,7.39633529380081,79,2.81842325858358
"Vietnam             ",68.964,20,230,63,67,29,8,48,3.7,"Southeast Asia","Developing country",10,0.183823529411765,34.2465753424658,3.22997416020672,1.17247413726657,2.30258509299405,-1.69377906086785,5.4380793089232,80,3.5335865697079
"Afghanistan         ",16.095,18,220,45,43,44,20,164,6.8,"Southern Asia","Developing country",9.09090909090909,0.225733634311512,4.86854917234664,2.08463623097769,0.734594370474119,2.20727491318972,-1.48839958405704,5.39362754635236,81,1.58279598148768
"Bangladesh          ",119,24,200,55,54,36,13,112,5.1,"Southern Asia","Developing country",4.16666666666667,0.174825174825175,3.12989045383412,1.81818181818182,0.59783700075562,1.42711635564015,-1.74396880539171,5.29831736654804,82,1.14099800516455
"Bhutan              ",1.66,95,199,50,48,40,17,126,5.5,"Southern Asia","Developing country",1.5625,0.148148148148148,6.77506775067751,1.03241792277514,0.0319035490130082,0.44628710262842,-1.90954250488444,5.29330482472449,83,1.91324936681576
"India               ",886.362,28,380,57,58,30,11,81,4.1,"Southern Asia","Developing country",6.66666666666667,0.5,7.6103500761035,4.27899015832264,1.45371703743732,1.89711998488588,-0.693147180559945,5.94017125272043,84,2.02950917293163
"Iran                ",61.183,57,1500,64,66,44,10,66,5.4,"Southern Asia","Developing country",21.2765957446809,4,15.3139356814701,3.46981263011797,1.24410059541672,3.05760767727208,1.38629436111989,7.3132203870903,85,2.72876324269975
"Nepal               ",20.086,8,165,51,51,38,14,90,5.5,"Southern Asia","Developing country",3.125,0.240963855421687,2.52525252525253,0.509061290979434,-0.675186855182952,1.13943428318836,-1.42310833424261,5.10594547390058,86,0.926341067727656
"Pakistan            ",121.644,32,380,56,57,43,14,105,5.9,"Southern Asia","Developing country",7.69230769230769,0.763358778625954,5.86166471277843,4.23011844331641,1.44222999345019,2.04022082852655,-0.27002713721306,5.94017125272043,87,1.76843364392456
"Sri Lanka           ",17.631,26,410,69,74,21,6,21,2.5,"Southern Asia","Developing country",12.5,0.980392156862745,28.0898876404494,1.51308821304282,0.41415273650573,2.52572864430826,-0.0198026272961798,6.01615715969835,88,3.33540964112415
"Iraq                ",18.445,70,1950,62,64,45,8,84,5.9,"Western Asia","Developing country",20,4,17.0648464163823,5.20291363163371,1.64921878244594,2.99573227355399,1.38629436111989,7.57558465155779,89,2.83702058239917
"Israel              ",4.748,89,12500,76,79,21,6,9,2.7,"Western Asia","Developed country",45.4545454545455,47.6190476190476,62.111801242236,28.9855072463768,3.36679595494482,3.81671282562382,3.86323284125871,9.43348392329039,90,4.12893600699172
"Jordan              ",3.557,68,1012,70,73,46.7,5,38,6.9,"Western Asia","Developing country",22.2222222222222,10,19.9203187250996,12.30012300123,2.50960926242837,3.10109278921182,2.30258509299405,6.91968384984741,91,2.99174025228445
"Kuwait              ",1.318,95,6200,72,76,32,2,15,4.3,"Western Asia","Developing country",55.5555555555556,14.4927536231884,29.7619047619048,14.3884892086331,2.66642852641139,4.01738352108597,2.67364877438488,8.73230457103318,92,3.39322921201298
"Lebanon             ",3.439,84,1400,66,71,28,7,43,3.1,"Western Asia","Developing country",76.9230769230769,5.43478260869565,38.0228136882129,12.970168612192,2.56265199841285,4.3428059215206,1.69281952137315,7.24422751560335,93,3.63818633979842
"Oman                ",1.587,10,4852,65,69,NA,NA,40,7.1,"Western Asia","Developing country",62.5,7.14285714285714,26.3157894736842,9.33706816059757,2.23399230152843,4.13516655674236,1.96611285637283,8.48714627006394,94,3.27016911925575
"Saudi Arabia        ",16.9,78,5800,65,68,38,7,69,7.1,"Western Asia","Developing country",30.3030303030303,7.69230769230769,24.6305418719212,11.7370892018779,2.46275384514687,3.41124771751566,2.04022082852655,8.66561319653451,95,3.20398721237445
"Syria               ",13.73,50,2300,65,67,44,7,45,6.3,"Western Asia","Developing country",24.390243902439,5.88235294117647,11.9047619047619,7.42390497401633,2.00470519556582,3.19418321227783,1.77195684193188,7.74066440191724,96,2.47693848013882
"Turkey              ",59.64,61,3400,68,72,28,6,54,3.2,"Western Asia","Developing country",12.8205128205128,14.2857142857143,21.505376344086,9.02527075812274,2.20002850466895,2.55104645229255,2.65926003693278,8.13153071060425,97,3.06830296638883
"United Arab Emirate ",2.522,81,12100,70,74,20,3,23,4.3,"Western Asia","Developing country",21.2765957446809,23.2558139534884,22.6244343891403,9.46073793755913,2.24715038610594,3.05760767727208,3.14655516328857,9.40096073158483,98,3.11903048989848
"Yemen               ",10.394,29,545,49,51,51,16,118,5.7,"Western Asia","Developing country",2.85714285714286,0.636942675159236,10.0502512562814,1.80799132164166,0.592216461981505,1.04982212449868,-0.451075619360217,6.30078579466324,99,2.30759763481759
"Bulgaria            ",8.868,67,5300,69,76,13,12,13,1.8,"Eastern Europe","Developed country",20.8333333333333,20.8333333333333,97.0873786407767,29.673590504451,3.39025744162382,3.03655426807425,3.03655426807425,8.57546209954021,100,4.57561138374655
"Hungary             ",10.333,62,5700,66,75,12,14,14,1.8,"Eastern Europe","Developed country",58.8235294117647,18.1818181818182,101.010101010101,32.6797385620915,3.4867552700238,4.07454193492592,2.90042209374967,8.64822145382264,101,4.61522052184159
"Poland              ",38.385,62,4300,68,76,14,9,14,2.1,"Eastern Europe","Developed country",27.7777777777778,13.3333333333333,64.9350649350649,21.2314225053079,3.05548227795977,3.32423634052603,2.59026716544583,8.36637030168165,102,4.17338776956255
"Romania             ",23.169,55,3100,68,74,14,10,22,2,"Eastern Europe","Developed country",13.6986301369863,12.987012987013,93.4579439252336,21.1864406779661,3.05336138639063,2.61729583783375,2.56394985712845,8.03915739047324,103,4.53751153751428
"Denmark             ",5.163,86,17700,72,78,12,11,7,1.5,"Northern Europe","Developed country",41.6666666666667,83.3333333333333,56.4971751412429,27.7777777777778,3.32423634052603,3.72970144863419,4.42284862919414,9.78131991856192,104,4.03419063940235
"Finland             ",5.004,61,16200,72,80,12,10,6,1.7,"Northern Europe","Developed country",100,47.6190476190476,135.135135135135,19.8807157057654,2.98975020187644,4.60517018598809,3.86323284125871,9.69276652122048,105,4.90627527877201
"Ireland             ",3.531,57,11200,72,78,15,9,8,2.4,"Northern Europe","Developed country",58.8235294117647,26.3157894736842,38.9105058365759,14.6842878120411,2.68677806582667,4.07454193492592,3.27016911925575,9.32366905728319,106,3.66126428708096
"Norway              ",4.294,75,17100,74,81,14,11,7.1,1.7,"Northern Europe","Developed country",76.9230769230769,62.5,59.5238095238095,32.3624595469256,3.47699909507844,4.3428059215206,4.13516655674236,9.74683374249075,107,4.08637639257292
"Sweden              ",8.602,85,17200,75,81,13,11,6,1.7,"Northern Europe","Developed country",83.3333333333333,90.9090909090909,67.5675675675676,31.25,3.44201937618241,4.42284862919414,4.50986000618377,9.75266466280154,108,4.21312809821207
"United Kingdom      ",57.798,90,15900,73,79,14,11,8,1.8,"Northern Europe","Developed country",100,52.6315789473684,72.463768115942,16.366612111293,2.79524341280459,4.60517018598809,3.9633162998157,9.67407438820832,109,4.28308668681898
"Albania             ",3.285,35,1300,72,79,23,5,27,2.7,"Southern Europe","Developed country",16.6666666666667,NA,56.8181818181818,17.4216027874564,2.85771097565662,2.81341071676004,NA,7.17011954344963,110,4.03985637693803
"Greece              ",10.064,63,7730,75,80,11,9,10,1.7,"Southern Europe","Developed country",41.6666666666667,45.4545454545455,51.8134715025907,30.5810397553517,3.42038020107893,3.72970144863419,3.81671282562382,8.95286414158147,111,3.9476501830713
"Italy               ",57.904,67,16700,74,81,11,10,8,1.5,"Southern Europe","Developed country",29.4117647058824,55.5555555555556,74.0740740740741,42.9184549356223,3.75930191841048,3.38139475436598,4.01738352108597,9.72316399840485,112,4.30506559353775
"Portugal            ",10.448,34,8400,71,78,12,10,10,1.7,"Southern Europe","Developed country",23.8095238095238,27.7777777777778,43.4782608695652,28.4090909090909,3.34670919637809,3.17008566069877,3.32423634052603,9.03598698483141,113,3.77226106305299
"Spain               ",39.118,79,12400,75,82,11,8,6,1.7,"Southern Europe","Developed country",29.4117647058824,40,50.5050505050505,36.3636363636364,3.59356927430961,3.38139475436598,3.68887945411394,9.42545175159313,114,3.92207334128165
"Austria             ",7.867,54,20895,74,81,12,11,8,1.5,"Western Europe","Developed country",62.5,55.5555555555556,99.009900990099,29.940119760479,3.39919937899948,4.13516655674236,4.01738352108597,9.94726517488202,115,4.59521985513492
"Belgium             ",10.016,96,17300,73,80,10,10,8,NA,"Western Europe","Developed country",45.4545454545455,52.6315789473684,92.5925925925926,31.5457413249211,3.4514385980989,3.81671282562382,3.9633162998157,9.75846178048587,116,4.52820914485196
"France              ",57.287,74,18300,74,82,13,9,7,1.8,"Western Europe","Developed country",90.9090909090909,58.8235294117647,125,26.7379679144385,3.28608457456165,4.50986000618377,4.07454193492592,9.81465633882951,117,4.8283137373023
"Netherlands         ",15.112,88.3,16600,75,81,13,9,7,1.5,"Western Europe","Developed country",83.3333333333333,62.5,60.9756097560976,24.1545893719807,3.18447439815087,4.42284862919414,4.13516655674236,9.71715797434464,118,4.11047394415198
"Switzerland         ",6.828,60,21700,76,83,12,10,5,1.6,"Western Europe","Developed country",38.4615384615385,83.3333333333333,99.009900990099,31.5457413249211,3.4514385980989,3.64965874096066,4.42284862919414,9.98506753952855,119,4.59521985513492
"Australia           ",17.567,85,18054,74,80,15,8,8,1.8,"Oceania","Developed country",50,50,50.251256281407,22.8310502283105,3.12812146159974,3.91202300542815,3.91202300542815,9.8011225458581,120,3.91703554725169
"New Zealand         ",3.347,76,14000,72,80,15,8,10,1.8,"Oceania","Developed country",90.9090909090909,71.4285714285714,90.0900900900901,27.8551532033426,3.3270179834879,4.50986000618377,4.26869794936688,9.5468126085974,121,4.50081017066385
